Time (s),Forward Acceleration (cm/s^2),Roll (deg),Label
15.0060791868932,-8,4.58366623270382,Other
15.0160746359223,-106,4.66960997456702,Other
15.0260700849515,-242,4.81284954433901,Other
15.0360655339806,-391,4.99906098504261,Other
15.0460609830097,-495,5.170948468769,Other
15.0560564320388,-508,5.2855401245866,Other
15.066051881068,-444,5.34283595249539,Other
15.0760473300971,-326,5.32851199551819,Other
15.0860427791262,-192,5.2712161676094,Other
15.0960382281553,-85,5.170948468769,Other
15.1060336771845,0,5.027708898997,Other
15.1160291262136,35,4.88446932922501,Other
15.1260245752427,24,4.72690580247582,Other
15.1360200242718,22,4.59799018968102,Other
15.146015473301,3,4.44042666293183,Other
15.1560109223301,-49,4.31151105013703,Other
15.1660063713592,-112,4.16827148036504,Other
15.1760018203883,-160,4.05367982454744,Other
15.1859972694175,-194,3.92476421175265,Other
15.1959927184466,-186,3.79584859895785,Other
15.2059881674757,-145,3.62396111523146,Other
15.2159836165048,-98,3.42342571755067,Other
15.225979065534,-44,3.19424240591548,Other
15.2359745145631,-9,2.96505909428028,Other
15.2459699635922,0,2.75019973962229,Other
15.2559654126214,-2,2.5496643419415,Other
15.2659608616505,1,2.36345290123791,Other
15.2759563106796,7,2.17724146053432,Other
15.2859517597087,13,1.97670606285352,Other
15.2959472087379,27,1.76184670819553,Other
15.305942657767,33,1.54698735353754,Other
15.3159381067961,40,1.34645195585675,Other
15.3259335558252,43,1.14591655817596,Other
15.3359290048544,47,0.945381160495163,Other
15.3459244538835,50,0.77349367676877,Other
15.3559199029126,55,0.615930150019576,Other
15.3659153519417,58,0.472690580247582,Other
15.3759108009709,66,0.329451010475587,Other
15.38590625,71,0.200535397680792,Other
15.3959016990291,75,0.0572958279087978,Other
15.4058971480582,87,-0.0572958279087978,Other
15.4158925970874,103,-0.186211440703593,Other
15.4258880461165,100,-0.315127053498388,Other
15.4358834951456,88,-0.415394752338784,Other
15.4458789441748,85,-0.501338494201981,Other
15.4558743932039,86,-0.572958279087978,Other
15.465869842233,88,-0.630254106996776,Other
15.4758652912621,106,-0.673225977928374,Other
15.4858607402913,128,-0.716197848859972,Other
15.4958561893204,136,-0.75916971979157,Other
15.5058516383495,117,-0.816465547700368,Other
15.5158470873786,85,-0.888085332586366,Other
15.5258425364078,77,-0.974029074449562,Other
15.5358379854369,107,-1.04564885933556,Other
15.545833434466,160,-1.11726864422156,Other
15.5558288834951,198,-1.17456447213035,Other
15.5658243325243,212,-1.21753634306195,Other
15.5758197815534,212,-1.26050821399355,Other
15.5858152305825,193,-1.26050821399355,Other
15.5958106796116,134,-1.28915612794795,Other
15.6058061286408,28,-1.33212799887955,Other
15.6158015776699,-79,-1.37509986981115,Other
15.625797026699,-176,-1.44671965469714,Other
15.6357924757282,-281,-1.57563526749194,Other
15.6457879247573,-408,-1.77617066517273,Other
15.6557833737864,-484,-2.09129771867112,Other
15.6657788228155,-555,-2.5066924710099,Other
15.6757742718447,-622,-2.89343930939429,Other
15.6857697208738,-606,-3.16559449196108,Other
15.6957651699029,-482,-3.33748197568747,Other
15.705760618932,-303,-3.40910176057347,Other
15.7157560679612,-156,-3.38045384661907,Toe-Off-Right
15.7257515169903,-81,-3.28018614777867,Other
15.7357469660194,-61,-3.16559449196108,Other
15.7457424150485,-57,-3.03667887916628,Other
15.7557378640777,-51,-2.89343930939429,Other
15.7657333131068,-65,-2.75019973962229,Other
15.7757287621359,-115,-2.6069601698503,Other
15.785724211165,-172,-2.4923685140327,Other
15.7957196601942,-208,-2.42074872914671,Other
15.8057151092233,-197,-2.37777685821511,Other
15.8157105582524,-154,-2.34912894426071,Other
15.8257060072816,-117,-2.27750915937471,Other
15.8357014563107,-90,-2.16291750355712,Other
15.8456969053398,-95,-2.03400189076232,Other
15.8556923543689,-111,-1.86211440703593,Other
15.8656878033981,-124,-1.69022692330953,Other
15.8756832524272,-136,-1.51833943958314,Other
15.8856787014563,-148,-1.36077591283395,Other
15.8956741504854,-115,-1.21753634306195,Other
15.9056695995146,-51,-1.07429677328996,Other
15.9156650485437,11,-0.916733246540764,Other
15.9256604975728,55,-0.730521805837172,Other
15.9356559466019,79,-0.529986408156379,Other
15.9456513956311,90,-0.300803096521188,Other
15.9556468446602,83,-0.0859437418631967,Other
15.9656422936893,65,0.128915612794795,Other
15.9756377427184,45,0.329451010475587,Other
15.9856331917476,20,0.529986408156379,Other
15.9956286407767,0,0.701873891882773,Other
